Name,Ascendant
Heath Ledger,Aries
Sofia Boutella,Aries
Bryce Dallas Howard,Aries
Brie Larson,Aries
Natalie Martinez,Aries
Aisha Tyler,Aries
Melissa McBride,Aries
Vida Guerra,Aries
Megan Mullally,Aries
Kendall Jenner,Aries
Barbra Streisand,Aries
Justin Chambers,Aries
Susan Saint James,Aries
Bo Derek,Aries
Joan Rivers,Aries
Olivia Hussey,Aries
Michael Vartan,Aries
Joan Collins,Aries
Bobcat Goldthwait,Aries
Joseph Gordon-Levitt,Aries
Lucy Lawless,Aries
Amber Tamblyn,Aries
Taylor Schilling,Aries
Jeremy Renner,Aries
Rihanna,Aries
Ron Howard,Aries
Luciana Gimenez,Aries
Dick Gregory,Aries
Gloria Henry,Aries
Robert Herbin,Aries
Andrew Jackson,Aries
Robert Klein,Aries
Markus Lanz,Aries
Bernard Laporte,Aries
Nigel Lawson,Aries
Brenda Lee,Aries
Jon Voight,Aries
Donnie Wahlberg,Aries
Oliver Hudson,Aries
Chris Rock,Aries
David Spade,Aries
James Dean,Aries
Heather Locklear,Aries
Bette Midler,Aries
John Lennon,Aries
Stevie Nicks,Aries
John Entwistle,Aries
Fabio Fognini,Aries
Walt Whitman,Aries
Xavier Niel,Aries
Dennis Kucinich,Aries
Barry Bostwick,Aries
Rob Brydon,Aries
Sue Grafton,Aries
Marcel Proust,Aries
Chet Atkins,Aries
Shaquille O'Neal,Aries
Candace Parker,Aries
Denis Diderot,Aries
Marilou Berry,Aries
Basil Rathbone,Aries
Farley Granger,Aries
Gaspard Ulliel,Aries
Geraldine Chaplin,Aries
Giulietta Masina,Aries
Penélope Cruz,Aries
Sally Kirkland,Aries
Valerie Perrine,Aries
Bruce Boxleitner,Aries
Daniela Bianchi,Aries
Noah Hathaway,Aries
Sandra Dee,Aries
Errol Flynn,Aries
Lynn Redgrave,Aries
Louis Armstrong,Aries
Theodore Bikel,Aries
Margaux Hemingway,Aries
Pete Rose,Aries
Barbara Hershey,Aries
Joan Baez,Aries
Bonnie Raitt,Aries
Shakira,Aries
Lena Horne,Aries
Nico,Aries
Helen Reddy,Aries
Marianne Faithfull,Aries
Julie London,Aries
Joe Cocker,Aries
Tom Petty,Aries
David Crosby,Aries
Samuel R. Delany,Aries
Ruth Rendell,Aries
Robert Frost,Aries
Louise Bogan,Aries
Eva Perón,Aries
George Lopez,Aries
Suzy Bogguss,Aries
Corbin Bernsen,Aries
Wendell Berry,Aries
Martina Navratilova,Aries
Craig Newmark,Aries
Judd Hirsch,Aries
Alec Guinness,Aries
Janeane Garofalo,Aries
Cloris Leachman,Aries
Darren Aronofsky,Aries
Rabindranath Tagore,Aries
Barbara Cartland,Aries
Hunter S. Thompson,Aries
Mo Rocca,Aries
Marco Simone,Aries
Alice Taglioni,Aries
Amber Rose,Aries
Ezer Weizman,Aries
Roger Whittaker,Aries
Barton Zwiebach,Aries
Umberto Agnelli,Aries
Roberto Alagna,Aries
Maurizio Arena,Aries
Raymond Barre,Aries
Russell Banks,Aries
Willam Belli,Aries
Georges Bereta,Aries
Enrico Berlinguer,Aries
Jejomar Binay,Aries
Joan Blondell,Aries
Peter Bogdanovich,Aries
Jack Brabham,Aries
Arturo Brachetti,Aries
Lloyd Bridges,Aries
Dee Dee Bridgewater,Aries
Colette Brosset,Aries
Gordon Brown,Aries
Francesco Camusso,Aries
Judith Butler,Aries
Rachel Carson,Aries
Andrea Checchi,Aries
Arlette Chabot,Aries
Dale Chihuly,Aries
David Mazouz,Aries
Tim Kaine,Aries
Elaine Hendrix,Aries
Lin-Manuel Miranda,Aries
Benjamin Franklin,Aries
Megan Nicole,Aries
Isabelle Adjani,Aries
Karen Fukuhara,Aries
Michael Curtiz,Aries
France Nuyen,Aries
Lea Salonga,Aries
Theda Bara,Aries
Deanna Durbin,Aries
Samantha Fox,Aries
Niykee Heaton,Aries
Francisco Rabal,Aries
Meredith Monk,Aries
Dina Merrill,Aries
Judith Durham,Aries
Lea Massari,Aries
Willeke Alberti,Aries
Dionne Quintuplets,Aries
Gianna Jessen,Aries
Clara Barton,Aries
Franz Grillparzer,Aries
Amy Fisher,Aries
Angie Dickinson,Aries
Rudolf Kempe,Aries
Philip K. Dick,Aries
Smita Patil,Aries
Mario Lanza,Aries
Willie Garson,Aries
Harry Nilsson,Aries
Philip José Farmer,Aries
Ezra Pound,Aries
Eavan Boland,Aries
Robert Benton,Aries
Alejandra Pizarnik,Aries
Mika Waltari,Aries
Adoniran Barbosa,Aries
Neil Bogart,Aries
Scott Eastwood,Taurus
Mackenzie Foy,Taurus
Jared Leto,Taurus
Josh Hutcherson,Taurus
Emily Osment,Taurus
Denise Richards,Taurus
Ashley Tisdale,Taurus
Danny Trejo,Taurus
Ali Larter,Taurus
Austin Butler,Taurus
Ezra Miller,Taurus
Andie MacDowell,Taurus
Peter O'Toole,Taurus
Matt Lanter,Taurus
Kate Mulgrew,Taurus
Megan Gale,Taurus
Jerry Seinfeld,Taurus
David Letterman,Taurus
Ali MacGraw,Taurus
Liza Minnelli,Taurus
Tracee Ellis Ross,Taurus
Linda Blair,Taurus
Cate Blanchett,Taurus
Robert Pattinson,Taurus
Amanda Bynes,Taurus
Eliza Dushku,Taurus
Miley Cyrus,Taurus
Josh Brolin,Taurus
Halle Berry,Taurus
Sigourney Weaver,Taurus
Jonathan Tucker,Taurus
Brendan Fraser,Taurus
Melanie Griffith,Taurus
Daryl Hannah,Taurus
Suzanne Somers,Taurus
George Lucas,Taurus
David Ginola,Taurus
Crispin Glover,Taurus
Robert Helpmann,Taurus
John Hensley,Taurus
Celeste Holm,Taurus
Betsey Johnson,Taurus
Paul Lambert,Taurus
Duncan Lamont,Taurus
Philipp Lahm,Taurus
Ella Lemhagen,Taurus
Billy Crystal,Taurus
Ann Miller,Taurus
Mia Farrow,Taurus
Nick Nolte,Taurus
Queen Latifah,Taurus
Peter Jackson,Taurus
Vivien Leigh,Taurus
Ann-Margret,Taurus
Gene Wilder,Taurus
Joris Mathijsen,Taurus
Eva Mattes,Taurus
Mike Rutherford,Taurus
Carlos Santana,Taurus
Brian Wilson,Taurus
Dave Gahan,Taurus
Toni Kroos,Taurus
David Goffin,Taurus
Rick Perry,Taurus
Toni Morrison,Taurus
Robert F. Kennedy,Taurus
Ulysses S. Grant,Taurus
Rick Warren,Taurus
Salman Rushdie,Taurus
George R. R. Martin,Taurus
Pep Guardiola,Taurus
Julian Lennon,Taurus
Michael Schumacher,Taurus
Zinedine Zidane,Taurus
Serena Williams,Taurus
David Beckham,Taurus
Radamel Falcao,Taurus
Mae West,Taurus
Gary Cooper,Taurus
Pearl Bailey,Taurus
Peter Lorre,Taurus
Satyajit Ray,Taurus
Max Carver,Taurus
Roddy McDowall,Taurus
William Katt,Taurus
Sasha Spielberg,Taurus
Bobby Darin,Taurus
Elle Macpherson,Taurus
Wayne Newton,Taurus
Joan Sutherland,Taurus
Steve Forbes,Taurus
Miles Davis,Taurus
Angela Davis,Taurus
William Henry Harrison,Taurus
Ana Beatriz Barros,Taurus
Phyllis Diller,Taurus
Eli Whitney,Taurus
Rachel Miner,Taurus
Sue Lyon,Taurus
Conor McGregor,Taurus
Guy Picciotto,Taurus
Dionne Warwick,Taurus
Cass Elliot,Taurus
Sheryl Crow,Taurus
Trisha Yearwood,Taurus
Kellie Pickler,Taurus
Giorgia (singer),Taurus
Steve Winwood,Taurus
Steve Marriott,Taurus
Elliott Smith,Taurus
John Howard,Taurus
Azealia Banks,Taurus
Dennis Lehane,Taurus
Elizabeth Bishop,Taurus
Dorothy Parker,Taurus
Danny Kaye,Taurus
Laura Bush,Taurus
Rita Hayworth,Taurus
Art Carney,Taurus
Thelma Todd,Taurus
Olly Murs,Taurus
Mick Fanning,Taurus
Christine Lagarde,Taurus
Tom Snyder,Taurus
Alastair Stewart,Taurus
Camila Cabello,Taurus
Gigi Hadid,Taurus
Gianna Nannini,Taurus
Taylor Lautner,Taurus
Tommy Lee Jones,Taurus
Henry Wadsworth Longfellow,Taurus
Herman Melville,Taurus
Amelia Earhart,Taurus
Neil Armstrong,Taurus
Gabriela Sabatini,Taurus
Fabrice Santoro,Taurus
Mercedes Sosa,Taurus
Pamela Tiffin,Taurus
Lee Trevino,Taurus
Donatella Versace,Taurus
Aaron Rodgers,Taurus
Jimmy Wales,Taurus
Samaki Walker,Taurus
Timothy West,Taurus
Stuart Whitman,Taurus
Luis Walter Alvarez,Taurus
Reubin Askew,Taurus
Christiaan Barnard,Taurus
Gary Barlow,Taurus
John Barbata,Taurus
James Baker,Taurus
Cecil Beaton,Taurus
Brendan Behan,Taurus
Hatem Ben Arfa,Taurus
Emmanuelle Bercot,Taurus
Maurice Biraud,Taurus
Rocky Bleier,Taurus
Julian Bond,Taurus
Alberto Bonucci,Taurus
Rachida Brakni,Taurus
Georges Brassens,Taurus
Joyce Brothers,Taurus
Bob Brown,Taurus
Ruth Brown,Taurus
Charlie Carver,Taurus
Renato Castellani,Taurus
Lionel Charbonnier,Taurus
Thierry Champion,Taurus
Wilt Chamberlain,Taurus
Felipe VI of Spain,Taurus
Billie Lourd,Taurus
Ruby Rose,Taurus
Elle McLemore,Taurus
Leigh-Allyn Baker,Taurus
George Washington,Taurus
Jagadish Chandra Bose,Taurus
Isaac Newton,Taurus
Nikola Tesla,Taurus
Ben Shapiro,Taurus
Mike Pompeo,Taurus
Jake Paul,Taurus
Alden Ehrenreich,Taurus
Shabazz Muhammad,Taurus
Darron Lee,Taurus
Phyllis Schlafly,Taurus
Prince Royce,Taurus
Álex Ubago,Taurus
Afrojack,Taurus
Jane Powell,Taurus
Bruce Dern,Taurus
William Shockley,Taurus
Fred Rogers,Taurus
Tony Todd,Taurus
Reno Wilson,Taurus
Tamzin Outhwaite,Taurus
Adrian Paul,Taurus
Rob Marshall,Taurus
Linda Cristal,Taurus
Patrick Duffy,Taurus
Maria Shriver,Taurus
Jeanne Moreau,Taurus
Randy Travis,Taurus
Charley Pride,Taurus
Mac Davis,Taurus
Steve Earle,Taurus
Fernando Rey,Taurus
Peter Criss,Taurus
Udo Lindenberg,Taurus
Margherita Buy,Taurus
Manuela Arcuri,Taurus
Aldo Fabrizi,Taurus
Michelle Hunziker,Taurus
Maximilian Mutzke,Taurus
Louane Emera,Taurus
Giusy Ferreri,Taurus
Francesco Renga,Taurus
Carl Sagan,Taurus
Antonello Venditti,Taurus
Gerald Ford,Taurus
Stuart Roosa,Taurus
Thomas Carlyle,Taurus
Lorna Luft,Taurus
Richard A. Clarke,Taurus
Judith Resnik,Taurus
Lisa Cimorelli,Taurus
Elsa Zylberstein,Taurus
Jean Jordan,Taurus
Anjanette Comer,Taurus
Dakota Fanning,Taurus
Gabriele D'Annunzio,Taurus
Jean Cocteau,Taurus
Ron Ziegler,Taurus
Charles Bukowski,Taurus
Milton Nascimento,Taurus
Edgar Rice Burroughs,Taurus
Juan Rulfo,Taurus
Jim Carroll,Taurus
Michael Cristofer,Taurus
Claudio Baglioni,Taurus
David Garrett,Taurus
Ronda Rousey,Gemini
Christina Hendricks,Gemini
Amy Adams,Gemini
Will Smith,Gemini
Alexander Ludwig,Gemini
Lindsay Lohan,Gemini
Bryan Cranston,Gemini
Minka Kelly,Gemini
Bill Irwin,Gemini
Armie Hammer,Gemini
Jussie Smollett,Gemini
Jennifer Jason Leigh,Gemini
Olivia Munn,Gemini
Darren Criss,Gemini
Lisa Rinna,Gemini
Bradley Whitford,Gemini
Paul Thomas Anderson,Gemini
Priyanka Chopra,Gemini
Ranbir Kapoor,Gemini
John Wayne,Gemini
Naya Rivera,Gemini
Virginia Madsen,Gemini
Anthony Geslin,Gemini
Kathryn Grayson,Gemini
Julie Newmar,Gemini
Jason Behr,Gemini
Keith Carradine,Gemini
Robert Sean Leonard,Gemini
Orson Welles,Gemini
Christina Milian,Gemini
Anthony Perkins,Gemini
Jean Dujardin,Gemini
Marissa Mayer,Gemini
America Olivo,Gemini
Kristen Stewart,Gemini
Matthew McConaughey,Gemini
Mandy Moore,Gemini
Juliette Lewis,Gemini
Sandra Bullock,Gemini
Julianne Moore,Gemini
Jackie Chan,Gemini
Ben Stiller,Gemini
Michelle Pfeiffer,Gemini
Helen Mirren,Gemini
Rose McGowan,Gemini
Drew Barrymore,Gemini
Gregory Peck,Gemini
Mickey Rourke,Gemini
John Krasinski,Gemini
Amy Winehouse,Gemini
Katey Sagal,Gemini
Michael Caine,Gemini
Mindy Kaling,Gemini
Tim Burton,Gemini
Charlie Sheen,Gemini
Judy Garland,Gemini
Diana Rigg,Gemini
Pamela Anderson,Gemini
Burt Reynolds,Gemini
Nancy Gates,Gemini
Phyllis George,Gemini
Vahina Giocante,Gemini
Tyree Glenn,Gemini
Peter Graves,Gemini
Julien Green,Gemini
Beppe Grillo,Gemini
Camilla Henemark,Gemini
Donald Holmquest,Gemini
David Hilbert,Gemini
Albert Hofmann,Gemini
Amy Johnson,Gemini
Rockwell Kent,Gemini
Johannes Kepler,Gemini
Anja Kling,Gemini
Eric Lange,Gemini
Bonnie Langford,Gemini
Ally Sheedy,Gemini
Misha Collins,Gemini
Richard Dreyfuss,Gemini
Peter Weller,Gemini
Freddy Maertens,Gemini
Rafe Mair,Gemini
Jean-Baptiste Maunier,Gemini
Joyce Maynard,Gemini
Paul Michiels,Gemini
Malcolm Young,Gemini
Mick Jagger,Gemini
Garth Brooks,Gemini
Bruce Springsteen,Gemini
Mike Love,Gemini
Colm Feore,Gemini
Ray Wise,Gemini
Hugo Lloris,Gemini
Julien Benneteau,Gemini
Jules Verne,Gemini
Orhan Pamuk,Gemini
Harry Belafonte,Gemini
Nick Cannon,Gemini
Louis Tomlinson,Gemini
Mitt Romney,Gemini
Virginia Woolf,Gemini
RuPaul,Gemini
Jessie J,Gemini
George Peppard,Gemini
Jack London,Gemini
Joseph Conrad,Gemini
Aldous Huxley,Gemini
Phil Spector,Gemini
Sam Cooke,Gemini
Cliff Richard,Gemini
Van Morrison,Gemini
Dr. Dre,Gemini
LeBron James,Gemini
Franz Beckenbauer,Gemini
Shammi Kapoor,Gemini
Akkineni Nagarjuna,Gemini
Alan Ladd,Gemini
Alida Valli,Gemini
Carole Lombard,Gemini
Dia Mirza,Gemini
Elio Germano,Gemini
Gene Tierney,Gemini
Geraldine Page,Gemini
Gina Lollobrigida,Gemini
Ginger Rogers,Gemini
Greta Garbo,Gemini
Lana Turner,Gemini
Lata Mangeshkar,Gemini
Louis Garrel,Gemini
Loretta Young,Gemini
Catherine Tate,Gemini
Kandyse McClure,Gemini
Peter Fonda,Gemini
Mélanie Thierry,Gemini
Billy Idol,Gemini
Naomi Grossman,Gemini
Kenny Loggins,Gemini
Fidel Castro,Gemini
Tom Wolfe,Gemini
Donovan,Gemini
Henry Kissinger,Gemini
Elliott Gould,Gemini
Theodore Roosevelt,Gemini
Willow Smith,Gemini
Lee Ranaldo,Gemini
Ravi Shastri,Gemini
Andy Hurley,Gemini
Susan Boyle,Gemini
Patsy Cline,Gemini
Diana Krall,Gemini
Ruth Pointer,Gemini
Natalie Maines,Gemini
Marie Fredriksson,Gemini
Vince Neil,Gemini
Gregg Allman,Gemini
Rufus Wainwright,Gemini
Margaret Atwood,Gemini
Ricky Martin,Gemini
Rosie O'Donnell,Gemini
Robert Penn Warren,Gemini
Nikki Giovanni,Gemini
Artie Lange,Gemini
Christina Grimmie,Gemini
Barbara Mandrell,Gemini
Emily Robison,Gemini
Maureen O'Hara,Gemini
François Hollande,Gemini
Gordon Ramsay,Gemini
Howard Stern,Gemini
Anthea Turner,Gemini
Chris Crocker,Gemini
Edward Snowden,Gemini
Jordan Maron,Gemini
Austin Mahone,Gemini
Ashton Irwin,Gemini
James Ingram,Gemini
Bobbi Kristina Brown,Gemini
Alexis Tsipras,Gemini
George Martin,Gemini
Maria de Medeiros,Gemini
Ashton Kutcher,Gemini
Christina Applegate,Gemini
Joan Allen,Gemini
Richard Dean Anderson,Gemini
Laraine Newman,Gemini
Neil Gaiman,Gemini
Didier Drogba,Gemini
Arthur Conan Doyle,Gemini
Queen Elizabeth The Queen Mother,Gemini
Alain Prost,Gemini
Yvonne Ryding,Gemini
Richard Tarnas,Gemini
Kelly Osbourne,Gemini
Luchino Visconti,Gemini
Kathie Lee Gifford,Gemini
Felix Wankel,Gemini
Marianne Williamson,Gemini
Colin Wilson,Gemini
Rose Mary Woods,Gemini
Ernesto Zedillo,Gemini
Ary Abittan,Gemini
Wendell Anderson,Gemini
Jean-Jacques Annaud,Gemini
Douglas Bader,Gemini
Alain Badiou,Gemini
Mike Barson,Gemini
John Bardeen,Gemini
Willie Banks,Gemini
George Balanchine,Gemini
Marion Bartoli,Gemini
Marco Bellocchio,Gemini
Jean-Paul Belmondo,Gemini
Tex Beneke,Gemini
Polly Bergen,Gemini
Michel Berger,Gemini
Senta Berger,Gemini
Ingmar Bergman,Gemini
Shelley Berman,Gemini
Pauline Betz,Gemini
Jane Birkin,Gemini
David Birney,Gemini
Tony Blair,Gemini
David Blunkett,Gemini
Larry Blyden,Gemini
Christian Bobin,Gemini
Jean-Marie Bockel,Gemini
Dirk Bogarde,Gemini
Basile Boli,Gemini
Danny Bonaduce,Gemini
Walter Bonatti,Gemini
Deborah Boone,Gemini
Jeannette Bougrab,Gemini
Lee Bowman,Gemini
Grant Brebner,Gemini
Richard Briers,Gemini
Herman Brood,Gemini
Kim Campbell,Gemini
Matt Cameron,Gemini
Elias Canetti,Gemini
Fabio Capello,Gemini
Rory Calhoun,Gemini
Fiorenzo Carpi,Gemini
Scott Carpenter,Gemini
Stefano Casiraghi,Gemini
Mark Chesnutt,Gemini
Field Cate,Gemini
Yvonne Choquet-Bruhat,Gemini
Julia Child,Gemini
Prince Joachim of Denmark,Gemini
LeToya Luckett,Gemini
Greta Scacchi,Gemini
Steffi Graf,Gemini
George Lazenby,Gemini
Claudia Gerini,Gemini
Alan Turing,Gemini
Jonathan Knight,Gemini
Dua Lipa,Gemini
Ella Bleu Travolta,Gemini
Machine Gun Kelly (rapper),Gemini
Teresa Giudice,Gemini
Juanpa Zurita,Gemini
Shelley Winters,Gemini
Lola Kirke,Gemini
Kris Humphries,Gemini
Dimitri Payet,Gemini
Wisin,Gemini
Alejandro Sanz,Gemini
Dia Frampton,Gemini
Martin Solveig,Gemini
Luke Roberts,Gemini
Inger Stevens,Gemini
Rob Cohen,Gemini
Edward Albert,Gemini
Richard Boone,Gemini
Betsy Palmer,Gemini
Dorothy Malone,Gemini
Robert Culp,Gemini
Richard Crenna,Gemini
Bob Crane,Gemini
Noel Clarke,Gemini
Donna Reed,Gemini
Jesse James,Gemini
Andrea Sawatzki,Gemini
Bart Starr,Gemini
Jack Kemp,Gemini
Keith Whitley,Gemini
John Denver,Gemini
Dinah Shore,Gemini
Regina Spektor,Gemini
Richard Rodgers,Gemini
Anne Jeffreys,Gemini
Sadhana Sargam,Gemini
Caron Wheeler,Gemini
Fritz Lang,Gemini
Ugo Tognazzi,Gemini
Michele Placido,Gemini
Philippe Noiret,Gemini
Sakis Rouvas,Gemini
Werner Heisenberg,Gemini
Kevin Mitnick,Gemini
Max Pezzali,Gemini
Christina Stürmer,Gemini
Conchita Wurst,Gemini
Carl Switzer,Gemini
Coco Austin,Gemini
Ivor Novello,Gemini
Ronald Isley,Gemini
Rutherford B. Hayes,Gemini
James Francis,Gemini
Jimmy Uso,Gemini
Timothy Busfield,Gemini
Rémy Riou,Gemini
Alfred Worden,Gemini
Christopher Wren,Gemini
Jermaine Dupri,Gemini
Pierre Mauroy,Gemini
Elizabeth Dole,Gemini
David Janssen,Gemini
Mari Hulman George,Gemini
Ishita Panchal,Gemini
Doug Pederson,Gemini
Kamala Harris,Gemini
José Paulo Lanyi,Gemini
Laurence Olivier,Gemini
Tony Scott,Gemini
Mikhail Glinka,Gemini
Andrew Greeley,Gemini
Xaviera Hollander,Gemini
Erica Jong,Gemini
Tim Rice,Gemini
Shailene Woodley,Cancer
Margot Robbie,Cancer
Lynn Collins,Cancer
Elisabeth Moss,Cancer
Paul Rudd,Cancer
Rory McCann,Cancer
Robert De Niro,Cancer
Rami Malek,Cancer
Paula Patton,Cancer
Billie Piper,Cancer
Meghan Markle,Cancer
Matt LeBlanc,Cancer
Zach Braff,Cancer
Tiffani Thiessen,Cancer
Jennifer Tilly,Cancer
Jeff Goldblum,Cancer
Jack Black,Cancer
Emile Hirsch,Cancer
Miranda Kerr,Cancer
Hailee Steinfeld,Cancer
Jenny Slate,Cancer
Keke Palmer,Cancer
Jayne Mansfield,Cancer
John Cena,Cancer
Anthony Quinn,Cancer
Hema Malini,Cancer
Christopher Lambert,Cancer
James Stewart,Cancer
Dominic Monaghan,Cancer
Bill Burr,Cancer
Jonathan Winters,Cancer
Mike Birbiglia,Cancer
Lily Tomlin,Cancer
John Ratzenberger,Cancer
Jack Lemmon,Cancer
Victoria Beckham,Cancer
Noah Wyle,Cancer
Lorenzo Lamas,Cancer
Albert Brooks,Cancer
Adrian Pasdar,Cancer
Elon Musk,Cancer
Angelina Jolie,Cancer
Kurt Russell,Cancer
Milla Jovovich,Cancer
Mark Wahlberg,Cancer
Arnold Schwarzenegger,Cancer
Ben Affleck,Cancer
Mel Gibson,Cancer
John Travolta,Cancer
Lizzy Caplan,Cancer
Steven Spielberg,Cancer
Molly Ringwald,Cancer
Kenneth Branagh,Cancer
Kate Hudson,Cancer
Liv Tyler,Cancer
Ben Foster,Cancer
Paget Brewster,Cancer
Kate Bosworth,Cancer
Lisa Kudrow,Cancer
Rob Zombie,Cancer
Juliette Binoche,Cancer
Emily Deschanel,Cancer
Frankie Valli,Cancer
Bill Gates,Cancer
Sara Gilbert,Cancer
Joel Grey,Cancer
Merv Griffin,Cancer
Erin Gray,Cancer
August Horch,Cancer
Peter Horton,Cancer
Deborah Houlding,Cancer
Dieter Hildebrandt,Cancer
Albert Jacquard,Cancer
Jan Janssen,Cancer
Bernadette Lafont,Cancer
