Name,Sign
Matthew Healy,Aries
Lady Gaga,Aries
Conan O'Brien,Aries
Quavo,Aries
Mariah Carey,Aries
Kourtney Kardashian,Aries
Victoria Beckham,Aries
Sarah Jessica Parker,Aries
Anya Taylor-Joy,Aries
Selena,Aries
Kristen Stewart,Aries
PinkPantheress,Aries
Heath Ledger,Aries
Emma Watson,Aries
Amanda Bynes,Aries
Pedro Pascal,Aries
Anitta (singer),Aries
Halle Bailey,Aries
Celine Dion,Aries
Jackson Wang,Aries
Marlon Brando,Aries
"Robert Downey, Jr.",Aries
Logan Paul,Aries
Leighton Meester,Aries
James Franco,Aries
Hayden Christensen,Aries
Kate Hudson,Aries
Quentin Tarantino,Aries
Jack Antonoff,Aries
Vincent van Gogh,Aries
Jennifer Garner,Aries
Lalisa Manoban,Aries
Big Sean,Aries
Reese Witherspoon,Aries
Miranda Kerr,Aries
Elle Fanning,Aries
Summer Walker,Aries
Rosie Huntington-Whiteley,Aries
Paul Rudd,Aries
Keira Knightley,Aries
Elton John,Aries
Diana Ross,Aries
Lisa Manoban,Aries
Leonardo da Vinci,Aries
Chester Bennington,Aries
Martin Lawrence,Aries
Maynard James Keenan,Aries
Jessica Chastain,Aries
Eddie Murphy,Aries
Maya Angelou,Aries
Victoria Pedretti,Aries
Aretha Franklin,Aries
Lil Nas X,Aries
Damon Albarn,Aries
Hugh Hefner,Aries
Suge Knight,Aries
Danielle Bregoli,Aries
Pharrell Williams,Aries
Sadie Sink,Aries
Seth Rogen,Aries
Shay Mitchell,Aries
Sarah Michelle Gellar,Aries
Jill Scott,Aries
Lily James,Aries
Katie Maloney,Aries
Jayne Mansfield,Aries
Saoirse Ronan,Aries
Marvin Gaye,Aries
Joan Crawford,Aries
Kyrie Irving,Aries
Charlie Hunnam,Aries
Chance the Rapper,Aries
Alec Baldwin,Aries
Tim Curry,Aries
Bette Davis,Aries
Skai Jackson,Aries
Jackie Chan,Aries
Mandy Moore,Aries
Jesse McCartney,Aries
Natasha Lyonne,Aries
Cynthia Nixon,Aries
Jesse Plemons,Aries
Rooney Mara,Aries
Eric Clapton,Aries
Sofia Boutella,Aries
Scott Eastwood,Aries
Jim Parsons,Aries
Warren Beatty,Aries
Vince Vaughn,Aries
Jenny Slate,Aries
Jisoo Kim,Aries
Marcia Cross,Aries
Randy Orton,Aries
Tracy Chapman,Aries
Fergie (singer),Aries
Ewan McGregor,Aries
Ty Dolla Sign,Aries
Gary Oldman,Aries
Julia Stiles,Aries
Matthew Broderick,Aries
Sabrina Carpenter,Taurus
JoJo Siwa,Taurus
Chris Brown,Taurus
Megan Fox,Taurus
Henry Cavill,Taurus
Cher,Taurus
Audrey Hepburn,Taurus
Machine Gun Kelly (rapper),Taurus
Dev Patel,Taurus
Adele,Taurus
Gigi Hadid,Taurus
Mark Zuckerberg,Taurus
David Beckham,Taurus
Kehlani,Taurus
Trisha Paytas,Taurus
Amber Heard,Taurus
Robert Pattinson,Taurus
Janet Jackson,Taurus
Travis Scott,Taurus
Karrueche Tran,Taurus
Dwayne Johnson,Taurus
Elizabeth II,Taurus
Melanie Martinez,Taurus
Jessica Alba,Taurus
Mr Beast,Taurus
Kirsten Dunst,Taurus
Al Pacino,Taurus
Jerry Seinfeld,Taurus
Channing Tatum,Taurus
Ana de Armas,Taurus
Melania Trump,Taurus
George Clooney,Taurus
Tucker Carlson,Taurus
Barbra Streisand,Taurus
Jack Nicholson,Taurus
Joe Keery,Taurus
Coi Leray,Taurus
Sigmund Freud,Taurus
Cate Blanchett,Taurus
John Cena,Taurus
Debby Ryan,Taurus
Victoria Monét,Taurus
William Shakespeare,Taurus
Uma Thurman,Taurus
Malcolm X,Taurus
Candace Owens,Taurus
James McAvoy,Taurus
Kelly Clarkson,Taurus
Scheana Marie,Taurus
Jessica Lange,Taurus
Penélope Cruz,Taurus
Gal Gadot,Taurus
Dennis Rodman,Taurus
Trent Reznor,Taurus
Charli D'Amelio,Taurus
Miranda Cosgrove,Taurus
Jamie Dornan,Taurus
Lizzo,Taurus
Jeffrey Dean Morgan,Taurus
Michelle Pfeiffer,Taurus
Sam Smith,Taurus
Blac Chyna,Taurus
Danny Trejo,Taurus
Billy Joel,Taurus
Sam Heughan,Taurus
Tionne Watkins,Taurus
Meek Mill,Taurus
6ix9ine,Taurus
Sofia Coppola,Taurus
Stevie Wonder,Taurus
Grace Jones,Taurus
Christina Hendricks,Taurus
Katharine Hepburn,Taurus
Austin McBroom,Taurus
Rami Malek,Taurus
Nikki Reed,Taurus
Lena Dunham,Taurus
Rachel Zegler,Taurus
Jim Jones,Taurus
Enrique Iglesias,Taurus
Karl Marx,Taurus
Salvador Dali,Taurus
Daniel Day-Lewis,Taurus
Noah Beck,Taurus
Wes Anderson,Taurus
Busta Rhymes,Taurus
Bono,Taurus
Maggie Rogers (singer),Taurus
Ann-Margret,Taurus
Lil Tjay,Taurus
Pierce Brosnan,Taurus
Kandi Burruss,Taurus
Pusha T,Taurus
Sam Altman,Taurus
Willie Nelson,Taurus
Damon Dash,Taurus
Tina Fey,Taurus
Enya,Taurus
Carol Burnett,Taurus
Renée Zellweger,Taurus
Donald Trump,Gemini
Kendrick Lamar,Gemini
Marilyn Monroe,Gemini
Angelina Jolie,Gemini
Cillian Murphy,Gemini
Kanye West,Gemini
Prince (musician),Gemini
Tupac Shakur,Gemini
Tom Holland (actor),Gemini
Johnny Depp,Gemini
Emma Chamberlain,Gemini
Stevie Nicks,Gemini
Nicole Kidman,Gemini
Peso Pluma,Gemini
Lucky Blue Smith,Gemini
Azealia Banks,Gemini
Adriana Lima,Gemini
Aaron Taylor-Johnson,Gemini
North West,Gemini
Priscilla Presley,Gemini
Lisa Lopes,Gemini
Brooke Shields,Gemini
John F. Kennedy,Gemini
Paul McCartney,Gemini
The Notorious B.I.G.,Gemini
Naomi Campbell,Gemini
Natalie Portman,Gemini
Lenny Kravitz,Gemini
Shia LaBeouf,Gemini
Lily-rose Depp,Gemini
Lauryn Hill,Gemini
Helena Bonham Carter,Gemini
Chris Evans,Gemini
Jordan Peterson,Gemini
Bob Dylan,Gemini
Chris Evans (actor),Gemini
Normani,Gemini
Emily Ratajkowski,Gemini
Chris Pratt,Gemini
Mark Wahlberg,Gemini
G-Eazy,Gemini
Morrissey,Gemini
Kodak Black,Gemini
Ice Cube,Gemini
Troye Sivan,Gemini
Roman Reigns,Gemini
Courteney Cox,Gemini
Kwon Soonyoung,Gemini
Colin Farrell,Gemini
Gunna (rapper),Gemini
Clint Eastwood,Gemini
James Charles,Gemini
André 3000,Gemini
Russell Brand,Gemini
Scott Disick,Gemini
Lucy Hale,Gemini
Iggy Azalea,Gemini
Bill Burr,Gemini
Morgan Freeman,Gemini
Don Toliver,Gemini
Ashley Olsen,Gemini
Judy Garland,Gemini
Mary-Kate Olsen,Gemini
Alanis Morissette,Gemini
Zoe Saldana,Gemini
Michael Cera,Gemini
Jorja Smith,Gemini
Kylie Minogue,Gemini
Chino Moreno,Gemini
Trippie Redd,Gemini
Anne Frank,Gemini
Theresa Caputo,Gemini
Liam Neeson,Gemini
Steve Lacy (guitarist),Gemini
Michael J. Fox,Gemini
Heidi Klum,Gemini
Hugh Laurie,Gemini
Novak Djokovic,Gemini
Kat Dennings,Gemini
Peter Dinklage,Gemini
Riley Keough,Gemini
beabadoobee,Gemini
Tom Holland,Gemini
Xi Jinping,Gemini
Dave Franco,Gemini
Adam Garcia,Gemini
Lionel Richie,Gemini
"Prince Philip, Duke of Edinburgh",Gemini
Garrett Watts,Gemini
Richard Madden,Gemini
Joan Rivers,Gemini
Cameron Boyce,Gemini
Rafael Nadal,Gemini
Amy Schumer,Gemini
Salman Rushdie,Gemini
Josh Dun,Gemini
Gorilla Monsoon,Gemini
Noel Gallagher,Gemini
Nick Drake,Gemini
Bill Hader,Gemini
Lana Del Rey,Cancer
O. J. Simpson,Cancer
Ariana Grande,Cancer
Post Malone,Cancer
Selena Gomez,Cancer
Princess Diana,Cancer
Elon Musk,Cancer
Margot Robbie,Cancer
Mike Tyson,Cancer
50 Cent,Cancer
Saweetie,Cancer
Courtney Love,Cancer
Kali Uchis,Cancer
Pamela Anderson,Cancer
Khloé Kardashian,Cancer
Jacob Elordi,Cancer
Tana Mongeau,Cancer
Robin Williams,Cancer
Tom Cruise,Cancer
Tate McRae,Cancer
Taylor Russell,Cancer
Anthony Bourdain,Cancer
Lindsay Lohan,Cancer
Larry David,Cancer
Conor McGregor,Cancer
Prince William,Cancer
Nikola Tesla,Cancer
Jaden Smith,Cancer
Sofía Vergara,Cancer
Solange Knowles,Cancer
Meryl Streep,Cancer
Gisele Bündchen,Cancer
George W. Bush,Cancer
PartyNextDoor,Cancer
Sophia Bush,Cancer
Frida Kahlo,Cancer
Aubrey Plaza,Cancer
Benson Boone,Cancer
Vinnie Hacker,Cancer
Lionel Messi,Cancer
Riley Reid,Cancer
Wendy Williams,Cancer
Shannon Sharpe,Cancer
Pauly D,Cancer
Priyanka Chopra,Cancer
Chloe Bailey,Cancer
Angelina Pivarnick,Cancer
Drake Bell,Cancer
Franz Kafka,Cancer
Jennette McCurdy,Cancer
H.E.R.,Cancer
Sylvester Stallone,Cancer
Kevin Hart,Cancer
Erika Jayne,Cancer
Tom Hanks,Cancer
Jon Jones,Cancer
Lil' Kim,Cancer
Kristen Bell,Cancer
Lisa Rinna,Cancer
Chris Cornell,Cancer
Willem Dafoe,Cancer
George Michael,Cancer
Nicole Scherzinger,Cancer
Vince Staples,Cancer
Harrison Ford,Cancer
Liv Tyler,Cancer
Benedict Cumberbatch,Cancer
Pop Smoke,Cancer
Michael Sorrentino,Cancer
Lee Taemin,Cancer
Eva Green,Cancer
Camilla Parker Bowles,Cancer
Jared Padalecki,Cancer
Ernest Hemingway,Cancer
Oliver Stark,Cancer
Will Ferrell,Cancer
Tobey Maguire,Cancer
Camila Mendes,Cancer
Missy Elliott,Cancer
Léa Seydoux,Cancer
Jessica Simpson,Cancer
Sandra Oh,Cancer
Ricky Gervais,Cancer
Cyndi Lauper,Cancer
Ashley Tisdale,Cancer
Josh Hartnett,Cancer
Ringo Starr,Cancer
Sam Claflin,Cancer
Ed Westwick,Cancer
Olivia Munn,Cancer
Phoebe Waller-Bridge,Cancer
Nelson Mandela,Cancer
Vin Diesel,Cancer
Hope Sandoval,Cancer
Dan Reynolds (musician),Cancer
Debbie Harry,Cancer
Michelle Rodriguez,Cancer
Maggie Lindemann,Cancer
Shane Dawson,Cancer
Travis Fimmel,Cancer
Jennifer Lopez,Leo
Dua Lipa,Leo
Kylie Jenner,Leo
Jennifer Lawrence,Leo
Barack Obama,Leo
Whitney Houston,Leo
Austin Butler,Leo
Madonna (entertainer),Leo
Meghan Markle,Leo
Ben Affleck,Leo
Lil Uzi Vert,Leo
Anthony Edwards (basketball),Leo
Bretman Rock,Leo
Andrew Garfield,Leo
Hasan Piker,Leo
Joe Rogan,Leo
Shawn Mendes,Leo
Sandra Bullock,Leo
Kim Cattrall,Leo
Charli XCX,Leo
Carl Jung,Leo
King Von,Leo
Demi Lovato,Leo
Arnold Schwarzenegger,Leo
Jason Momoa,Leo
Mila Kunis,Leo
J. K. Rowling,Leo
Chris Hemsworth,Leo
Jason Statham,Leo
Kate Bush,Leo
Halle Berry,Leo
Young Thug,Leo
Bill Clinton,Leo
Matthew Perry,Leo
Phoebe Bridgers,Leo
Joe Jonas,Leo
Martha Stewart,Leo
Charlize Theron,Leo
Daniel Radcliffe,Leo
Patrick Swayze,Leo
Robert De Niro,Leo
Kacey Musgraves,Leo
Sebastian Stan,Leo
Bill Skarsgård,Leo
Gillian Anderson,Leo
AC Wharton Jr.,Leo
Mick Jagger,Leo
Cara Delevingne,Leo
Clara Bow,Leo
Tom Brady,Leo
Jacqueline Kennedy Onassis,Leo
Finneas O'Connell,Leo
Steve Carell,Leo
Andy Samberg,Leo
Matt LeBlanc,Leo
Tory Lanez,Leo
Chief Keef,Leo
Paul Wesley,Leo
Elizabeth Gillies,Leo
Steve Martin,Leo
Lucille Ball,Leo
Kate Beckinsale,Leo
Jerry Garcia,Leo
Christopher Nolan,Leo
Joey King,Leo
Dixie D'Amelio,Leo
Elliott Smith,Leo
Marcello Hernandez,Leo
Kristen Wiig,Leo
Robert Plant,Leo
Maya Rudolph,Leo
Lisa Kudrow,Leo
Bo Burnham,Leo
G-Dragon,Leo
James Cameron,Leo
Nessa Barrett,Leo
Amy Adams,Leo
Andy Warhol,Leo
Dylan Sprouse,Leo
James Baldwin,Leo
Coco Chanel,Leo
Angela Bassett,Leo
Young Dolph,Leo
George Soros,Leo
Meagan Good,Leo
Anna Kendrick,Leo
Devon Aoki,Leo
Viola Davis,Leo
Mark Cuban,Leo
Soulja Boy,Leo
Greta Gerwig,Leo
Terry Crews,Leo
Teanna Trump,Leo
Michelle Williams,Leo
Vivica A. Fox,Leo
The Kid Laroi,Leo
David Duchovny,Leo
Yungblud,Leo
Princess Anne,Leo
Cailee Spaeny,Leo
Zendaya,Virgo
Beyoncé,Virgo
Amy Winehouse,Virgo
Sydney Sweeney,Virgo
Jungkook,Virgo
Keanu Reeves,Virgo
Ella Purnell,Virgo
Blake Lively,Virgo
Katt Williams,Virgo
Salma Hayek,Virgo
Kendra Lust,Virgo
Adam Sandler,Virgo
Florence Welch,Virgo
Rap Monster,Virgo
Playboi Carti,Virgo
Jack Black,Virgo
Freddie Mercury,Virgo
Kobe Bryant,Virgo
Metro Boomin,Virgo
Jada Pinkett Smith,Virgo
Fiona Apple,Virgo
Chris Pine,Virgo
Keke Palmer,Virgo
Cassie Ventura,Virgo
Nick Jonas,Virgo
Abby Lee Miller,Virgo
Prince Harry,Virgo
Dylan O'Brien,Virgo
Pink (singer),Virgo
Cameron Diaz,Virgo
Jimmy Fallon,Virgo
Tom Hardy,Virgo
Lil Yachty,Virgo
Paul Walker,Virgo
River Phoenix,Virgo
Warren Buffett,Virgo
Kaia Gerber,Virgo
Johnnie Guilbert,Virgo
Narendra Modi,Virgo
Ludacris,Virgo
Lili Reinhart,Virgo
John Mulaney,Virgo
Wiz Khalifa,Virgo
Tim Burton,Virgo
Sofia Richie,Virgo
Bebe Rexha,Virgo
Stephen King,Virgo
Marc Anthony,Virgo
Shania Twain,Virgo
Han Jisung,Virgo
Charlie Sheen,Virgo
Tyler Perry,Virgo
Nas,Virgo
Sophia Loren,Virgo
Dave Chappelle,Virgo
Moneybagg Yo,Virgo
Avicii,Virgo
Hugh Grant,Virgo
Idris Elba,Virgo
Filthy Frank,Virgo
Niall Horan,Virgo
Richard Gere,Virgo
Khabib Nurmagomedov,Virgo
Nicki Nicole,Virgo
Connor Franta,Virgo
Rose McGowan,Virgo
Emmy Rossum,Virgo
Jason Derulo,Virgo
Armie Hammer,Virgo
Alexis Bledel,Virgo
Jenna Marbles,Virgo
Zico (rapper),Virgo
Hans Zimmer,Virgo
Leonard Cohen,Virgo
Lea Michele,Virgo
Drew Pinsky,Virgo
Nick Cave,Virgo
Joe Budden,Virgo
Bernie Sanders,Virgo
Rod Wave,Virgo
Chad Michael Murray,Virgo
Andrew Lincoln,Virgo
Jennifer Coolidge,Virgo
Eazy-E,Virgo
James Gandolfini,Virgo
Thalía,Virgo
Blaire White,Virgo
Alexander Skarsgård,Virgo
Rachel Sennott,Virgo
Jimmy Butler,Virgo
Joan Jett,Virgo
Bill Murray,Virgo
Julian Casablancas,Virgo
Michelle Visage,Virgo
Jon Bernthal,Virgo
Tom Ford,Virgo
Melissa McCarthy,Virgo
Jennifer Hudson,Virgo
Aaron Paul,Virgo
Macaulay Culkin,Virgo
Doja Cat,Libra
Kim Kardashian,Libra
Travis Kelce,Libra
A$AP Rocky,Libra
Bella Hadid,Libra
Barry Keoghan,Libra
Vladimir Putin,Libra
Eminem,Libra
Gwen Stefani,Libra
Cardi B,Libra
Jenna Ortega,Libra
Ashanti (singer),Libra
Will Smith,Libra
Monica Bellucci,Libra
John Lennon,Libra
Halsey (singer),Libra
Dakota Johnson,Libra
Rubi Rose,Libra
Bruno Mars,Libra
Donald Glover,Libra
Lil Wayne,Libra
Rosalia,Libra
YoungBoy Never Broke Again,Libra
Snoop Dogg,Libra
Ne-Yo,Libra
Glen Powell,Libra
21 Savage,Libra
Mitski,Libra
Barbara Palvin,Libra
Avril Lavigne,Libra
Park Jimin,Libra
Kamala Harris,Libra
Marina and the Diamonds,Libra
John Mayer,Libra
Kate Winslet,Libra
Emilia Clarke,Libra
Zac Efron,Libra
Hilary Duff,Libra
DDG (rapper),Libra
Gwyneth Paltrow,Libra
